quote,author,tags,likes
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"['chocolate', 'food', 'humor']",26372
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,['humor'],26034
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”","J.K. Rowling,",['dumbledore'],26013
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,[],25505
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","Dr. Seuss,","['comedy', 'life', 'yourself']",25502
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"['inspirational', 'life', 'yourself']",25233
"“To the well-organized mind, death is but the next great adventure.”","J.K. Rowling,","['death', 'inspirational']",25068
“I'm not afraid of death; I just don't want to be there when it happens.”,Woody Allen,"['death', 'fear', 'humor', 'life']",24998
"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",Oscar Wilde,"['books', 'reading']",24743
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"['attributed-no-source', 'children', 'fairy-tales']",24701
"“Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.”","Cassandra Clare,","['city-of-bones', 'jace']",24397
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,"['attributed-no-source', 'imagination']",24168
"“I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.”","John Green,","['doomed', 'inevitable', 'love', 'oblivion', 'pleasure', 'simple']",24084
"“Whenever I feel the need to exercise, I lie down until it goes away.”",Paul   Terry,"['exercise', 'humor', 'laziness', 'misattributed-to-hutchins']",24080
"“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”","Nicholas Sparks,",['love'],23935
“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”,"Markus Zusak,","['beauty', 'life']",23773
“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”,"John Green,","['satisfaction', 'self-determination']",23660
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","Dr. Seuss,","['learning', 'reading', 'seuss']",23548
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,['friendship'],23458
“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln,"['attributed-no-source', 'happiness']",23447
"“Love looks not with the eyes, but with the mind,And therefore is winged Cupid painted blind.”","William Shakespeare,",['love'],23345
